Target_ID_max,Vy_min,TIT_T3_max,ay_min,TIT_T2_max,Gap_Factor_mean,ay_max,ay_mean,TIT_T1_max,TET_T1_max,TTC_min,TET_T3_max,k=3,k=4,k=5,k=6,k=7,k=8,k=9
269,-0.0047613273797999,3.87643498642016,-0.1412722707088024,2.8764349864201595,0.8175167585360099,0.3283406813912906,0.0225805497112292,1.87643498642016,0.1,0.1235650135798403,0.1,2,3,4,5,6,6,7
271,-0.1700441661793418,3.9792604723202873,-0.0076517357697822,2.9792604723202865,0.946828573705658,0.0086985834253394,0.000373874162698,1.9792604723202865,0.1,0.0207395276797136,0.1,2,3,4,5,6,6,7
275,0.2281577919179996,0.1552301919264502,-0.086726479825052,0.0,0.2321399254773659,0.0,-0.0289088266083506,0.0,0.0,3.8447698080735497,0.1,0,1,1,1,1,2,2
276,-0.0299705356474442,3.6501659938474473,0.0,2.6501659938474478,0.5873787850356549,0.0348075961050983,0.016112051773467,1.650165993847447,0.1,0.3498340061525527,0.1,2,3,4,5,6,6,7
277,0.0008959822506042,3.76202344079593,0.0,2.76202344079593,0.5906726322240299,0.0338463816001641,0.017518763301662,1.76202344079593,0.1,0.2379765592040698,0.1,2,3,4,5,6,6,7
278,0.026492182718226,3.9792604723202873,-0.0519400872137234,2.9792604723202865,0.9672632382975684,0.1414722751718944,0.0270903030486555,1.9792604723202865,0.1,0.0207395276797136,0.1,2,3,4,5,6,6,7
282,-0.0744324738741233,0.0,-0.0131533771490337,0.0,0.011736708127747,0.0164580130852143,0.0013425870890399,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
285,-0.0179117960312602,3.5523270430923386,-0.0479247659220201,2.5523270430923386,0.7108537790719529,0.0560303028208286,0.0033629919431518,1.5523270430923386,0.1,0.4476729569076615,0.1,2,3,4,5,6,6,7
287,-0.0741276566124387,3.746856157638548,-0.0542577851534993,2.746856157638548,1.1327043804179422,0.0440699170715308,0.003348801629552,1.7468561576385475,0.1,0.2531438423614524,0.1,2,3,4,5,6,6,7
291,0.1618498601220608,3.331671918018676,0.0,2.331671918018676,1.4844515167531511,0.0,0.0,1.3316719180186751,0.1,0.6683280819813248,0.1,2,3,4,5,6,5,6
292,0.0856688152582803,0.0,0.0,0.0,1.123283741020021,0.0117961342914962,0.003932044763832,0.0,0.0,10.0,0.0,1,2,3,3,4,7,8
294,-0.1258852675227706,3.959825815503694,-0.0630167320374506,2.959825815503694,0.5436605437372377,0.0421252971518806,0.0101968060399298,1.959825815503694,0.1,0.040174184496306,0.1,2,3,4,5,6,6,7
299,-0.0014606971462223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
302,-0.0014606971462223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
303,-0.0108977895242643,2.446548720807022,-0.0057422134479627,1.4465487208070222,1.142527876855337,0.0182064884438029,0.0001120813307323,0.4465487208070222,0.1,1.5534512791929778,0.1,2,3,2,4,5,4,5
305,-0.0187107329800375,3.0338381951278186,-0.001914439292413,2.0338381951278186,0.277431062526173,0.0152141692702721,0.0040578836093065,1.0338381951278186,0.1,0.9661618048721814,0.1,2,3,2,5,5,4,4
308,-0.1055389268541169,3.3374781459352585,-0.0353280811053654,2.3374781459352585,0.9291678895294924,0.028650576758701,-0.0025989095696148,1.3374781459352585,0.1,0.6625218540647415,0.1,2,3,4,5,6,5,6
309,-0.1019802083883172,3.866425492884692,-0.0454995840797471,2.866425492884692,1.270564887899728,0.0256065838681602,-0.0022699356228424,1.866425492884692,0.1,0.1335745071153078,0.1,2,3,4,5,6,6,7
314,-0.1534943741075549,0.0,-0.019477001735172,0.0,1.1404891323265365,0.0201189182225829,0.0020036863897078,0.0,0.0,10.0,0.0,1,2,3,3,4,7,8
315,-0.0220992854607842,3.959825815503694,-0.0130075779411529,2.959825815503694,0.7748209522357062,0.0077605013065786,-0.0027861995540627,1.959825815503694,0.1,0.040174184496306,0.1,2,3,4,5,6,6,7
316,-0.1641856617241673,0.0,-0.0352209729605633,0.0,1.3084572996952637,0.0220416847212647,-0.0012151473621328,0.0,0.0,10.0,0.0,1,2,3,3,4,7,8
325,0.0020430233235099,2.117892653019115,-0.0013746276175773,1.1178926530191151,0.2518040765845586,0.0008322405482047,-0.0001355967673431,0.1178926530191151,0.1,1.8821073469808849,0.1,2,3,2,4,2,4,5
326,0.0467087812063262,2.582174370334691,0.0,1.582174370334691,0.3032236576080322,0.0,0.0,0.5821743703346913,0.1,1.417825629665309,0.1,2,3,2,4,5,4,5
329,-0.3528860306144026,3.3374781459352585,-0.0866291506031218,2.3374781459352585,1.0134736101950743,0.0549368590537646,-0.0363268010746117,1.3374781459352585,0.1,0.6625218540647415,0.1,2,3,4,5,6,5,6
330,-0.0336512889690276,3.5523270430923386,0.0,2.5523270430923386,0.1420361730787489,0.0,0.0,1.5523270430923386,0.1,0.4476729569076615,0.1,2,3,4,5,6,5,6
332,-0.0873909712961669,3.866425492884692,-0.118570446669636,2.866425492884692,1.1206801390647887,0.1691460925372252,-0.0058926751102778,1.866425492884692,0.1,0.1335745071153078,0.1,2,3,4,5,6,6,7
475,0.0190559072087443,3.6591625288764655,-0.0091588471178784,2.6591625288764664,0.6369137684504191,0.0,-0.0030529490392927,1.6591625288764664,0.1,0.3408374711235337,0.1,2,3,4,5,6,6,7
480,-0.3521579911958787,2.5339822395805798,-0.0559612877917907,1.533982239580579,0.2113405197149231,0.0880462906966688,0.0070713927017252,0.5339822395805791,0.1,1.466017760419421,0.1,2,3,2,4,5,4,5
481,-0.0638643055898593,3.634936390442531,-0.0499590323718552,2.634936390442531,0.3149755803602082,0.05788323143995,0.0110659022710594,1.634936390442531,0.1,0.3650636095574692,0.1,2,3,4,5,6,6,7
483,0.0059154692924825,3.769915769292503,0.0,2.769915769292503,0.4395787471945667,0.0425873488969117,0.0123220030982214,1.769915769292503,0.1,0.230084230707497,0.1,2,3,4,5,6,6,7
484,-0.0557333450659398,3.769915769292503,-0.0257812348147814,2.769915769292503,0.3257669578604146,0.027873618335359,0.0006468613865612,1.769915769292503,0.1,0.230084230707497,0.1,2,3,4,5,6,6,7
487,-0.0925579664495843,3.409878317367456,-0.0279545827369069,2.409878317367456,0.5473816649544807,0.048161042241793,0.0182689003767267,1.4098783173674558,0.1,0.5901216826325443,0.1,2,3,4,5,6,5,6
491,-0.3828530084371189,3.6591625288764655,-0.2700677915751941,2.6591625288764664,0.614060207251664,0.0905022030137652,-0.013246159061197,1.6591625288764664,0.1,0.3408374711235337,0.1,2,3,4,5,6,6,7
496,-0.6997619938254722,3.5708234807184294,-0.6193486876335983,2.5708234807184294,0.3437173896365695,0.0185843586714415,-0.0989695356385542,1.5708234807184294,0.1,0.4291765192815706,0.1,2,3,4,5,6,6,7
501,0.0534819992505111,2.7923865995840256,0.0,1.7923865995840258,0.868828805287679,0.0,0.0,0.7923865995840258,0.1,1.2076134004159742,0.1,2,3,2,4,5,4,4
505,-0.149588276425745,3.2237743846105884,-0.0522017938343104,2.2237743846105884,0.2409206153381438,0.0385120111103196,0.0072137310392501,1.2237743846105882,0.1,0.7762256153894118,0.1,2,3,4,5,6,5,6
514,-0.0260398300464341,3.693613383419449,-0.0043489078152252,2.693613383419449,0.1197311350655934,0.0059645106657837,-0.0012329454319182,1.6936133834194491,0.1,0.3063866165805506,0.1,2,3,4,5,6,6,7
518,-0.1301692028445056,3.693613383419449,-0.0227946546557457,2.693613383419449,0.2973354067121233,0.0263787084172204,0.008790417114789,1.6936133834194491,0.1,0.3063866165805506,0.1,2,3,4,5,6,6,7
519,-0.577402663621334,0.0,-0.3371904698936363,0.0,0.1282459838049752,0.1730191683345792,-0.0368173061214156,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
522,-0.0616427816582239,3.2237743846105884,-0.0109320268081265,2.2237743846105884,0.2554138277258191,0.0167068158755814,0.0081049372812919,1.2237743846105882,0.1,0.7762256153894118,0.1,2,3,4,5,6,5,6
527,-0.117943742485352,0.0,-0.0117055565076703,0.0,0.4403278916871466,0.0105622159361776,-0.0024788978116008,0.0,0.0,7.84352617214889,0.0,1,0,0,0,3,1,1
528,0.0776721232358648,0.0,0.0,0.0,0.3874921242396036,0.0091864871382321,0.0041794532230376,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
530,-0.0156168257696849,3.413913795370717,-0.0143369252047734,2.413913795370717,0.602300818355716,0.0009469830699984,-0.0017997997076948,1.4139137953707168,0.1,0.5860862046292831,0.1,2,3,4,5,6,5,6
532,-0.1554529404250901,3.919552144663894,0.0,2.919552144663894,0.4530486826588507,0.0190384907477213,0.008179087378582,1.9195521446638943,0.1,0.0804478553361057,0.1,2,3,4,5,6,6,7
535,0.1850638131982381,0.0,-0.0794917306199469,0.0,0.134812525340489,0.0,-0.0264972435399823,0.0,0.0,7.589469558543765,0.0,1,0,0,0,3,1,1
537,0.0367238647647001,2.8622333125852246,-0.0041057424160317,1.8622333125852248,0.1558386937777201,0.013994945473553,0.0013649002663395,0.8622333125852246,0.1,1.1377666874147754,0.1,2,3,2,4,5,4,4
538,-0.0578152912963143,3.919552144663894,-0.0461978274817242,2.919552144663894,0.4793578986326853,0.0461959614502118,-0.0047238499550587,1.9195521446638943,0.1,0.0804478553361057,0.1,2,3,4,5,6,6,7
