Target_ID_max,Target_Class_max,Vx_max,Vy_max,ax_max,ay_max,TIT_T1_max,TET_T1_max,TIT_T2_max,TET_T2_max,TIT_T3_max,TET_T3_max,Gap_Factor_max,Vx_min,Vy_min,ax_min,ay_min,TTC_min,Gap_Factor_min,Vx_mean,Vy_mean,ax_mean,ay_mean,Gap_Factor_mean
157,bicycleperson,1.2172860051351255,0.2322927216422837,0.1903729844685671,0.0599557266430456,0.45050639938042125,0.1,1.4505063993804213,0.1,2.450506399380421,0.1,1.8701443672180176,0.6839406876343901,-0.1597446166357352,-0.3452087909449126,-0.0932646808363267,1.5494936006195787,0.0,0.9088088337287302,0.0353860443438854,-0.013017355787399067,-0.0015529247759448435,1.0780252479988597
159,bicycleperson,-0.5249229244363569,0.1834315966398212,0.0,0.0,0.45050639938042125,0.1,1.4505063993804213,0.1,2.450506399380421,0.1,0.34678235054016116,-0.5249229244363569,0.1834315966398212,0.0,0.0,1.5494936006195787,0.0,-0.5249229244363569,0.1834315966398212,0.0,0.0,0.17339117527008058
165,bicycleperson,3.5157720466973608,0.4224746510578193,1.959251465034857,0.2037306123324233,1.4184963696477675,0.1,2.4184963696477677,0.1,3.4184963696477677,0.1,0.5753877639770508,-0.3141902175839188,0.074177437580218,-2.3795849677261067,-0.0821779615791293,0.5815036303522325,0.0,1.1760011794848038,0.26112941198812123,0.1538349945239757,-0.016062955682797524,0.2562653382619222
167,bicycleperson,1.8632515032969612,0.0811847660536346,0.2042041876365488,0.0230345267801731,1.4864786152992135,0.1,2.4864786152992133,0.1,3.4864786152992133,0.1,2.1988683342933655,0.7254735035065529,-0.0362419568091225,-1.1377779997904085,-0.0100673389724732,0.5135213847007865,0.0,0.9159066053250448,0.0024195428179037263,-0.051552263445610653,0.004101570792579231,1.1512014925479888
168,bicycleperson,1.2424436063866793,0.1177662754497086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35341968536376955,1.2424436063866793,0.1177662754497086,0.0,0.0,4.52057539213899,0.35341968536376955,1.2424436063866793,0.1177662754497086,0.0,0.0,0.35341968536376955
171,bicycleperson,1.2424436063866793,0.1648176556846057,0.0,0.0195272720259009,1.448812624881001,0.1,2.448812624881001,0.1,3.448812624881001,0.1,0.8247298955917358,0.9699282589858812,0.1177662754497086,-0.1311917397545414,0.0,0.5511873751189991,0.3796533942222595,1.1202096872143996,0.13812421898937516,-0.05450306948015961,0.00941027604697938,0.657929565111796
177,person,-0.0174831022522568,-0.0042842844611352,0.1404977511202503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1579808533725071,-0.0043463641872145,0.0,-6.207972607930046e-05,10.0,0.0,-0.11114826966575701,-0.004304977703161634,0.04683258370675011,-2.0693242026433484e-05,0.0
180,bicycleperson,0.1138031119666322,-0.0042348529637492,0.233163185034698,0.0057505757830234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1620135204387836,-0.0277103432797445,-0.1600007609503855,-0.0079368428344084,10.0,0.0,0.022917153274897104,-0.016867989093480844,0.005042851870951919,-0.0002903485167792118,0.0
183,bicycleperson,2.204758975820174,0.7743966230371304,3.031879078804225,0.3630333235647842,0.08687645486686324,0.1,1.0868764548668632,0.1,2.0868764548668635,0.1,0.0,-1.7397095053009677,0.4113632994723462,-1.0782616142949153,-0.1126076101076372,1.9131235451331368,0.0,0.3982195306340634,0.5664352182897142,0.5634954973030202,0.004485649089079898,0.0
184,bicycleperson,-1.3919406039527151,-0.0285126178948764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3250598907470703,-1.3919406039527151,-0.0285126178948764,0.0,0.0,10.0,0.0,-1.3919406039527151,-0.0285126178948764,0.0,0.0,0.6625299453735352
195,bicycleperson,-2.436092323409952,-0.0493845461712918,0.0960406988626516,0.0325283161164215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.54342116198152,-0.1234627868706033,-0.1073288385715685,0.0,7.075453979018623,0.0,-2.5107612118273526,-0.09397288087872709,0.004421298614504079,0.014815648139862239,0.0
206,bicycleperson,1.3639382853913613,0.0702254430237139,0.7885319623781175,0.0286618554078377,1.9127219348414486,0.1,2.9127219348414486,0.1,3.9127219348414486,0.1,1.8578385379579332,0.5473180249058114,-0.0845548976984171,-0.601487151451293,-0.037033126004893,0.0872780651585514,0.0,0.9995754550207991,0.001171788074218816,0.019427068041740825,-6.403657088334359e-05,0.4052785613263647
238,person,0.4606532330430788,-0.208225043197114,0.752471594818175,0.0619668101090371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2918183617750962,-0.4117097972446368,-0.3795567540290179,0.0,10.0,0.0,0.03738188009739086,-0.3456301961016368,0.02183214572558212,0.025435594255940323,0.0
239,person,-1.3595062829091145,0.0316755036372495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3595062829091145,0.0316755036372495,0.0,0.0,10.0,0.0,-1.3595062829091145,0.0316755036372495,0.0,0.0,0.0
